generator,u64_ops_per_s,f64_ops_per_s,mean_f64,var_f64,chi2_bytes,threads,total_u64,total_f64
std_mt19937,495258380.785535,548490653.136499,0.500017,0.083327,269.964698,8,200000000,200000000
std_mt19937_64,692907957.138446,785773801.063879,0.499970,0.083333,230.953904,8,200000000,200000000
minstd_rand,1003158884.630271,1220340575.698718,0.250001,0.020835,100054215.135232,8,200000000,200000000
ranlux48,12192147.726963,12733064.277637,0.499987,0.083327,495921509.973667,8,200000000,200000000
xoroshiro128pp,1249215531.684088,1218825862.387857,0.500018,0.083337,257.226828,8,200000000,200000000
pcg32,791380129.355039,909560159.445896,0.500015,0.083336,234.552926,8,200000000,200000000
