generator,u64_ops_per_s,f64_ops_per_s,mean_f64,var_f64,chi2_bytes,threads,total_u64,total_f64
std_mt19937,912168399.337262,918305378.119829,0.500012,0.083325,252.423460,12,199999992,199999992
std_mt19937_64,1106473820.031479,1265148974.953513,0.499960,0.083335,229.472240,12,199999992,199999992
minstd_rand,1104606016.267285,1238922051.047927,0.249987,0.020834,100066219.337643,12,199999992,199999992
ranlux48,27433691.349121,25839155.186862,0.500023,0.083329,496017013.205358,12,199999992,199999992
xoroshiro128pp,1685746097.931882,1888429920.753506,0.500004,0.083331,275.682440,12,199999992,199999992
pcg32,1285271021.426686,1484436466.989087,0.499995,0.083335,277.801208,12,199999992,199999992
