generator,u64_ops_per_s,f64_ops_per_s,mean_f64,var_f64,chi2_bytes,threads,total_u64,total_f64
std_mt19937,1014458959.862050,1016082704.170170,0.500012,0.083325,252.423460,12,199999992,199999992
std_mt19937_64,1200113371.714477,1384213557.518971,0.499960,0.083335,229.472240,12,199999992,199999992
minstd_rand,1182112151.136433,1279364293.068769,0.249987,0.020834,100066219.337643,12,199999992,199999992
ranlux48,28580004.595866,26193550.454414,0.500023,0.083329,496017013.205358,12,199999992,199999992
xoroshiro128pp,1670924555.545590,1983734456.289967,0.500004,0.083331,275.682440,12,199999992,199999992
pcg32,1297112127.872791,1536666608.952028,0.499995,0.083335,277.801208,12,199999992,199999992
