generator,u64_ops_per_s,f64_ops_per_s,mean_f64,var_f64,chi2_bytes,threads,total_u64,total_f64
std_mt19937,679317543.246478,520774697.996763,0.500012,0.083325,252.423460,12,199999992,199999992
std_mt19937_64,959275386.750184,695707669.810294,0.499960,0.083335,229.472240,12,199999992,199999992
minstd_rand,1351517325.417205,1470723580.367278,0.249987,0.020834,100066219.337643,12,199999992,199999992
ranlux48,46524834.226948,39473028.423914,0.500023,0.083329,496017013.205358,12,199999992,199999992
xoroshiro128pp,1535377780.882425,1614853109.442984,0.500004,0.083331,275.682440,12,199999992,199999992
pcg32,1028809535.083970,1191731871.794499,0.499995,0.083335,277.801208,12,199999992,199999992
