generator,u64_ops_per_s,f64_ops_per_s,mean_f64,var_f64,chi2_bytes,threads,total_u64,total_f64
std_mt19937,1016373265.114360,993163127.105700,0.500017,0.083327,269.964698,8,200000000,200000000
std_mt19937_64,936625572.219686,1117742038.131351,0.499970,0.083333,230.953904,8,200000000,200000000
minstd_rand,785835434.174323,945026564.401405,0.250001,0.020835,100054215.135232,8,200000000,200000000
ranlux48,16893872.052742,15444256.544364,0.499987,0.083327,495921509.973667,8,200000000,200000000
xoroshiro128pp,1428814709.790319,1310541165.859059,0.500018,0.083337,257.226828,8,200000000,200000000
pcg32,1098953782.262364,1072690683.004282,0.500015,0.083336,234.552926,8,200000000,200000000
