generator,u64_ops_per_s,f64_ops_per_s,mean_f64,var_f64,chi2_bytes,threads,total_u64,total_f64
std_mt19937,616150276.896009,685060424.898453,0.500017,0.083327,269.964698,8,200000000,200000000
std_mt19937_64,821299625.554101,907441685.386905,0.499970,0.083333,230.953904,8,200000000,200000000
minstd_rand,1292706581.783243,1354363666.621352,0.250001,0.020835,100054215.135232,8,200000000,200000000
ranlux48,14592955.877135,14490903.959054,0.499987,0.083327,495921509.973667,8,200000000,200000000
xoroshiro128pp,1521442449.157197,1309605679.366950,0.500018,0.083337,257.226828,8,200000000,200000000
pcg32,955750884.487709,1027637738.942634,0.500015,0.083336,234.552926,8,200000000,200000000
